MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,HUCEightDigitCode,StateCode,region,huc2
42SRBCWQ_WQX-CHEM006.0-4176,CHEM 6,River/Stream,41.985644,-76.553325,2050105,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHEM028.0-4276,CHEM 28.3,River/Stream,42.07277778,-76.84861111,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHEM029.0-4276,CHEM 29.0,River/Stream,42.08277778,-76.86611111,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHEN002.4-4275,CHEN 3.6,River/Stream,42.12194444,-75.90166667,2050102,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHEN011.9-4275,CHEN 11.9,River/Stream,42.2188,-75.8486,2050102,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHER012.7-4274,Cherry,River/Stream,42.706392,-74.799213,2050101,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ001.3-4076,CHIQ 1.3,River/Stream,40.06438,-76.5136,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ003.0-4076,CHIQ 3.0,River/Stream,40.06972222,-76.50027778,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ004.4-4076,CHIQ 4.4,River/Stream,40.06626,-76.47841,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ005.7-4076,CHIQ 5.7,River/Stream,40.07595,-76.47091,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ011.3-4076,CHIQ 11.3,River/Stream,40.108639,-76.444319,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ013.8-4076,CHIQ 13.8,River/Stream,40.11698,-76.42473,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ017.7-4076,CHIQ 17.7,River/Stream,40.14182,-76.4088,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHIQ022.3-4076,CHIQ 22.3,River/Stream,40.18627,-76.38885,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHLL000.9-4076,CHLLS0.9,River/Stream,40.94055556,-76.85472222,2050206,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHOC006.7-4276,CHOC,River/Stream,42.015819,-76.009313,2050103,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHST001.0-4078,CHST1.0,River/Stream,40.86583333,-78.71833333,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHST025.0-4078,CHEST,River/Stream,40.630521,-78.647566,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CLFD000.9-4178,CLFD0.9,River/Stream,41.01777778,-78.4075,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CLRK003.8-4076,CLRK 3.8,River/Stream,40.38833333,-76.94138889,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CNTG000.9-3976,CNTG 0.9,River/Stream,39.93722222,-76.3875,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CNWG001.8-3976,CNWG 1.8,River/Stream,39.7,-76.18972222,2050306,24.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CNWG011.3-4076,CNWG 11.3,River/Stream,40.1847,-76.6126,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COCO000.2-4077,COCO 0.2,River/Stream,40.53722222,-77.14611111,2050304,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CODO000.6-4076,CODO 0.6,River/Stream,40.05194444,-76.64861111,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COHO006.5-4277,COHO 6.5,River/Stream,42.22432,-77.19045,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COHO010.2-4277,COHO 10.2,River/Stream,42.25793,-77.22012,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COLD004.3-4078,COLD 4.3,River/Stream,40.86468,-78.20787,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CONO001.3-4076,CONO 1.3,River/Stream,40.25583333,-76.92777778,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CONO035.1-4077,cono35,River/Stream,40.237916,-77.193454,2050305,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COOK005.0-4177,COOK5.0,River/Stream,41.34154737,-77.94931778,2050203,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COVE010.0-3978,COVE,River/Stream,39.92874,-78.47529,2050303,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-COWN021.1-4177,COWN 21.1,River/Stream,41.94085,-77.72641,2050104,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CROK012.2-4177,CROK,River/Stream,41.857518,-77.293131,2050104,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEEP000.5-4076,DEEP 0.5,River/Stream,40.635512,-76.796912,2050301,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEEP001.2-4076,DEEP 1.2,River/Stream,40.64138889,-76.58805556,2050301,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEEP005.8-4076,DEEP 5.8,River/Stream,40.646561,-76.55212,2050301,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEEP013.5-4076,DEEP2.0,River/Stream,40.67666667,-76.45916667,2050301,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEER001.2-3976,DEER 1.2,River/Stream,39.6225,-76.165,2050306,24.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DEER044.2-3976,DEER 44.2,River/Stream,39.71782,-76.60272,2050306,24.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DOHO000.2-4177,DOHO 0.2,River/Stream,41.92247,-77.62543,2050104,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DONE000.8-4076,DONE 0.8,River/Stream,40.06155,-76.52937,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DONE002.7-4076,DONE 2.7,River/Stream,40.08026,-76.53398,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DONE003.3-4076,DONE 3.3,River/Stream,40.08609,-76.53989,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DRFT022.0-4178,Driftwood,River/Stream,41.526489,-78.270075,2050202,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DRYR012.0-4277,DRYR 12.0,River/Stream,42.2618,-77.01862,2050105,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-DUNN000.1-4078,DUNN 0.1,River/Stream,40.02055556,-78.47666667,2050303,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-EBCC002.8-4175,EBCC 2.8,River/Stream,41.90829,-75.53877,2050101,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-EBFC004.1-4176,EBFC,River/Stream,41.322608,-76.34434,2050107,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-EBOT005.4-3976,EBOT 5.4,River/Stream,39.846583,-76.02025,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-EBSF000.6-4177,EBSF 0.6,River/Stream,41.62637,-77.36529,2050205,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-EBWC000.4-4176,EBWC 0.1,River/Stream,41.78583333,-76.06805556,2050106,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-ECON000.0-4076,ECON 0.0,River/Stream,40.1475,-76.69944444,2050305,42.0,Mid-Atlantic / Chesapeake,02
