MonitoringLocationIdentifier,richness,ept_taxa,ept_present,tol_present,LatitudeMeasure,LongitudeMeasure,region
21GPBCH-S_HRC_1,39,3,True,True,47.9174075048,-89.7423980866,Great Lakes
21GPBCH-S_HRC_3,47,2,True,True,47.9466760163,-89.7866052585,Great Lakes
21GPBCH-S_PGR_1,51,1,True,True,47.99598496,-89.58267495,Great Lakes
21GPBCH-S_PGR_4,29,3,True,False,48.00739695,-89.70491912,Great Lakes
21GPBCH-S_PGR_5,56,2,True,True,47.992344,-89.84802476,Great Lakes
21GPBCH-S_POP_1,83,5,True,True,48.00430202,-89.70337612,Great Lakes
21GPBCH-S_REZ_1,38,5,True,True,47.8765912392,-89.8621182037,Great Lakes
21GPBCH-S_REZ_3,27,3,True,True,47.9466215099,-89.8554448157,Great Lakes
21GPBCH-S_REZ_6,42,2,True,True,47.8981533609,-89.860965693,Great Lakes
21GPBCH-S_RRC_1,33,3,True,True,47.9034919823,-89.7702870805,Great Lakes
21MICH_WQX-010108,24,7,True,True,44.5476,-83.8221,Great Lakes
21MICH_WQX-010109,42,6,True,True,44.5507,-83.4221,Great Lakes
21MICH_WQX-010110,28,6,True,True,44.5468,-83.4219,Great Lakes
21MICH_WQX-010115,30,8,True,True,44.57713,-83.50319,Great Lakes
21MICH_WQX-010138,23,5,True,True,44.57366,-83.42238,Great Lakes
21MICH_WQX-030531,20,3,True,True,42.7361,-85.75139,Great Lakes
21MICH_WQX-030556,12,0,False,False,42.7544,-86.0608,Great Lakes
21MICH_WQX-030568,12,0,False,False,42.7489,-86.0961,Great Lakes
21MICH_WQX-030583,31,6,True,True,42.669,-85.8787,Great Lakes
21MICH_WQX-030604,24,2,True,True,42.71212,-85.70196,Great Lakes
21MICH_WQX-030607,31,3,True,True,42.63838,-85.75862,Great Lakes
21MICH_WQX-030651,11,0,False,False,42.76871,-85.999371,Great Lakes
21MICH_WQX-030673,33,5,True,True,42.701,-85.899,Great Lakes
21MICH_WQX-030726,25,3,True,True,42.623993,-85.74458,Great Lakes
21MICH_WQX-030731,18,2,True,True,42.68685,-85.89813,Great Lakes
21MICH_WQX-030732,19,4,True,True,42.68049,-85.689,Great Lakes
21MICH_WQX-030733,16,1,True,True,42.62374,-85.70205,Great Lakes
21MICH_WQX-030734,21,1,True,True,42.66453,-85.83816,Great Lakes
21MICH_WQX-030735,13,2,True,False,42.65252,-85.86592,Great Lakes
21MICH_WQX-040172,32,7,True,True,44.93745,-83.49062,Great Lakes
21MICH_WQX-060033,29,4,True,True,44.048338,-83.686948,Great Lakes
21MICH_WQX-060166,40,4,True,True,44.10861,-83.69615,Great Lakes
21MICH_WQX-070109,28,6,True,True,46.57384,-88.66375,Great Lakes
21MICH_WQX-070110,26,6,True,True,46.80672,-88.08706,Great Lakes
21MICH_WQX-070143,32,9,True,True,46.77028,-88.20197,Great Lakes
21MICH_WQX-070144,30,7,True,True,46.73255,-88.34089,Great Lakes
21MICH_WQX-080244,32,4,True,True,42.73957,-85.18319,Great Lakes
21MICH_WQX-080268,31,6,True,True,42.751,-85.154,Great Lakes
21MICH_WQX-080269,33,4,True,True,42.727,-85.206,Great Lakes
21MICH_WQX-080282,28,7,True,True,42.766045,-85.290841,Great Lakes
21MICH_WQX-080286,28,5,True,True,42.76219,-85.27109,Great Lakes
21MICH_WQX-080291,29,6,True,True,42.76618,-85.29825,Great Lakes
21MICH_WQX-080298,30,3,True,True,42.72656,-85.255467,Great Lakes
21MICH_WQX-100162,24,3,True,True,44.535,-85.90861,Great Lakes
21MICH_WQX-100188,18,3,True,True,44.66214,-86.04966,Great Lakes
21MICH_WQX-100240,22,3,True,True,44.6638,-86.0542,Great Lakes
21MICH_WQX-100242,21,4,True,True,44.5331,-85.8782,Great Lakes
21MICH_WQX-100244,34,5,True,True,44.5745,-85.8777,Great Lakes
21MICH_WQX-100248,21,3,True,True,44.66783,-86.05007,Great Lakes
21MICH_WQX-100251,25,5,True,True,44.72649,-86.14364,Great Lakes
21MICH_WQX-100264,36,8,True,True,44.68143,-85.92227,Great Lakes
21MICH_WQX-100268,32,8,True,True,44.57304,-85.88799,Great Lakes
21MICH_WQX-100269,15,0,False,True,44.631875,-86.091009,Great Lakes
21MICH_WQX-110719,27,5,True,True,42.20595,-86.24444,Great Lakes
21MICH_WQX-110732,26,4,True,True,41.92741,-86.4704,Great Lakes
21MICH_WQX-110804,17,3,True,True,42.060079,-86.396446,Great Lakes
21MICH_WQX-110805,22,3,True,True,41.8565,-86.36527,Great Lakes
21MICH_WQX-120254,31,5,True,True,41.8391,-85.19303,Great Lakes
21MICH_WQX-130310,35,5,True,True,42.251389,-84.98361,Great Lakes
21MICH_WQX-130324,32,5,True,True,41.80182,-85.11642,Great Lakes
21MICH_WQX-130335,40,6,True,True,42.251717,-84.988571,Great Lakes
21MICH_WQX-130405,38,4,True,True,42.2402,-84.97066,Great Lakes
21MICH_WQX-140111,29,3,True,True,41.79694,-86.21472,Great Lakes
21MICH_WQX-140168,29,4,True,True,42.04965,-86.06914,Great Lakes
21MICH_WQX-180170,11,1,True,True,43.82037,-84.76207,Great Lakes
21MICH_WQX-180171,20,6,True,True,43.82917,-84.74816,Great Lakes
21MICH_WQX-180172,23,7,True,True,43.91223,-84.62653,Great Lakes
21MICH_WQX-190101,33,4,True,True,42.9293,-84.7044,Great Lakes
21MICH_WQX-190117,19,3,True,True,43.07902,-84.36763,Great Lakes
21MICH_WQX-190118,42,6,True,True,43.079166,-84.719444,Great Lakes
21MICH_WQX-190164,34,4,True,True,43.0895,-84.7596,Great Lakes
21MICH_WQX-190204,33,4,True,True,43.08952,-84.76057,Great Lakes
21MICH_WQX-190205,29,4,True,True,42.98444,-84.444913,Great Lakes
21MICH_WQX-190206,21,2,True,True,43.07955,-84.660391,Great Lakes
21MICH_WQX-200005,32,9,True,True,44.827781,-84.490282,Great Lakes
21MICH_WQX-200148,31,7,True,True,44.7167,-84.42,Great Lakes
21MICH_WQX-200160,36,7,True,True,44.66635,-84.40427,Great Lakes
21MICH_WQX-200161,33,9,True,True,44.67569,-84.39149,Great Lakes
21MICH_WQX-200165,28,7,True,True,44.78794,-84.59722,Great Lakes
21MICH_WQX-200166,37,10,True,True,44.7564,-84.4578,Great Lakes
21MICH_WQX-200176,28,7,True,True,44.7683,-84.4242,Great Lakes
21MICH_WQX-220001,44,9,True,True,45.776948,-87.827087,Great Lakes
21MICH_WQX-220153,41,8,True,True,45.966496,-87.697817,Great Lakes
21MICH_WQX-220154,37,5,True,True,45.947593,-87.758327,Great Lakes
21MICH_WQX-220155,29,8,True,True,45.861542,-87.843433,Great Lakes
21MICH_WQX-230136,16,3,True,True,42.758337,-84.65417,Great Lakes
21MICH_WQX-230199,22,3,True,True,42.75237,-84.65516,Great Lakes
21MICH_WQX-230200,23,2,True,True,42.74111,-84.64999,Great Lakes
21MICH_WQX-230210,33,6,True,True,42.760933,-84.650083,Great Lakes
21MICH_WQX-230233,17,2,True,True,42.731042,-84.655957,Great Lakes
21MICH_WQX-230235,23,3,True,True,42.760323,-84.65338,Great Lakes
21MICH_WQX-230247,18,0,False,True,42.74477,-84.652437,Great Lakes
21MICH_WQX-250031,24,3,True,True,43.030837,-83.677782,Great Lakes
21MICH_WQX-250502,32,3,True,True,43.20586,-83.64091,Great Lakes
21MICH_WQX-250513,22,4,True,True,43.059987,-83.854243,Great Lakes
21MICH_WQX-250514,21,0,False,True,42.951335,-83.771466,Great Lakes
21MICH_WQX-250515,21,2,True,True,42.88544,-83.720574,Great Lakes
21MICH_WQX-250516,34,5,True,True,43.00049,-83.526579,Great Lakes
21MICH_WQX-250554,23,0,False,True,43.004073,-83.610504,Great Lakes
21MICH_WQX-250556,16,2,True,True,43.002575,-83.678133,Great Lakes
21MICH_WQX-250557,19,2,True,True,42.97394,-83.691573,Great Lakes
21MICH_WQX-260009,29,6,True,True,43.915837,-84.478892,Great Lakes
21MICH_WQX-260122,16,2,True,True,43.92446,-84.42602,Great Lakes
21MICH_WQX-260123,33,7,True,True,43.95193,-84.48535,Great Lakes
21MICH_WQX-260124,32,5,True,True,43.9012,-84.45774,Great Lakes
21MICH_WQX-260148,27,5,True,True,44.09091,-84.36696,Great Lakes
21MICH_WQX-260149,35,7,True,True,43.92547,-84.47477,Great Lakes
21MICH_WQX-280440,28,6,True,True,44.63118,-85.72113,Great Lakes
21MICH_WQX-280441,31,8,True,True,44.63151,-85.72172,Great Lakes
21MICH_WQX-290186,64,11,True,True,43.3791,-84.8328,Great Lakes
21MICH_WQX-290209,46,8,True,True,43.17611,-84.67304,Great Lakes
21MICH_WQX-290211,22,3,True,True,43.21992,-84.690342,Great Lakes
21MICH_WQX-290222,35,6,True,True,43.379758,-84.706577,Great Lakes
21MICH_WQX-290225,35,6,True,True,43.32103,-84.7126,Great Lakes
21MICH_WQX-290226,36,4,True,True,43.30679,-84.82558,Great Lakes
21MICH_WQX-310359,28,6,True,True,46.79875,-88.793689,Great Lakes
21MICH_WQX-310432,35,8,True,True,46.866,-88.615,Great Lakes
21MICH_WQX-310517,27,4,True,True,46.96148,-88.60421,Great Lakes
21MICH_WQX-310518,32,7,True,True,46.72298,-88.81417,Great Lakes
21MICH_WQX-320302,26,4,True,True,43.742,-82.662,Great Lakes
21MICH_WQX-320319,25,3,True,True,43.7364,-83.41616,Great Lakes
21MICH_WQX-320357,26,4,True,True,43.7259,-82.9189,Great Lakes
21MICH_WQX-330018,19,3,True,True,42.640004,-84.481948,Great Lakes
21MICH_WQX-330153,21,4,True,True,42.584726,-84.444171,Great Lakes
21MICH_WQX-330154,26,3,True,True,42.588615,-84.445281,Great Lakes
21MICH_WQX-330238,31,5,True,True,42.755559,-84.581948,Great Lakes
21MICH_WQX-330247,21,5,True,True,42.709726,-84.362504,Great Lakes
21MICH_WQX-330253,18,1,True,True,42.683337,-84.380559,Great Lakes
21MICH_WQX-330319,25,2,True,True,42.53854,-84.49035,Great Lakes
21MICH_WQX-330373,34,6,True,True,42.713198,-84.43112,Great Lakes
21MICH_WQX-330374,29,4,True,True,42.4394,-84.164,Great Lakes
21MICH_WQX-330387,9,2,True,True,42.65889,-84.28856,Great Lakes
21MICH_WQX-410567,24,6,True,True,42.77472,-85.3589,Great Lakes
21MICH_WQX-410625,23,5,True,True,42.78452,-85.40741,Great Lakes
21MICH_WQX-410785,11,0,False,False,42.83115,-85.57641,Great Lakes
21MICH_WQX-430569,22,5,True,True,43.850012,-85.843387,Great Lakes
21MICH_WQX-430587,24,3,True,True,43.850038,-85.884976,Great Lakes
21MICH_WQX-430609,27,4,True,True,43.881,-85.6526,Great Lakes
21MICH_WQX-430621,20,4,True,True,43.90957,-85.77224,Great Lakes
21MICH_WQX-430623,27,6,True,True,43.90724,-85.74207,Great Lakes
21MICH_WQX-430624,28,4,True,True,43.88538,-85.6372,Great Lakes
21MICH_WQX-430631,25,7,True,True,43.91616,-85.696808,Great Lakes
21MICH_WQX-430632,28,6,True,True,43.90334,-85.801739,Great Lakes
21MICH_WQX-530028,30,5,True,True,43.937226,-86.180838,Great Lakes
21MICH_WQX-530232,20,2,True,True,43.93436,-86.376072,Great Lakes
21MICH_WQX-530294,26,4,True,True,43.89008,-86.28327,Great Lakes
21MICH_WQX-530296,23,6,True,True,43.9331,-86.1155,Great Lakes
21MICH_WQX-530301,21,3,True,True,43.93458,-86.395216,Great Lakes
21MICH_WQX-530302,26,5,True,True,43.81908,-86.08814,Great Lakes
21MICH_WQX-620238,24,4,True,True,43.799642,-85.744881,Great Lakes
21MICH_WQX-620243,20,5,True,True,43.696974,-85.891635,Great Lakes
21MICH_WQX-620318,28,4,True,True,43.68185,-85.99948,Great Lakes
21MICH_WQX-620330,17,2,True,True,43.68683,-85.979731,Great Lakes
21MICH_WQX-620331,32,5,True,True,43.72907,-85.859762,Great Lakes
21MICH_WQX-640183,20,1,True,True,43.740971,-86.039578,Great Lakes
21MICH_WQX-640191,7,0,False,False,43.688079,-86.326493,Great Lakes
21MICH_WQX-640291,3,0,False,False,43.698098,-86.352692,Great Lakes
21MICH_WQX-640331,23,2,True,True,43.67774,-86.06708,Great Lakes
21MICH_WQX-640346,1,0,False,False,43.69285,-86.35747,Great Lakes
21MICH_WQX-700523,12,0,False,False,42.7907,-85.98981,Great Lakes
21MICH_WQX-700559,16,0,False,False,42.8142,-86.0392,Great Lakes
21MICH_WQX-700600,14,0,False,False,42.82684,-86.04906,Great Lakes
21MICH_WQX-700638,11,0,False,False,42.77746,-85.99019,Great Lakes
21MICH_WQX-700668,13,0,False,False,42.784213,-86.037472,Great Lakes
21NC03WQ-KB1,26,4,True,False,36.2013888889,-81.65,Ohio River Basin
21NC03WQ-KB10,49,6,True,False,36.4738888889,-81.3369444444,Ohio River Basin
21NC03WQ-KB100,86,3,True,True,36.5430555556,-81.0213888889,Ohio River Basin
21NC03WQ-KB101,26,3,True,False,36.4972222222,-81.1186111111,Ohio River Basin
21NC03WQ-KB108,39,2,True,False,36.3125,-81.4644444444,Ohio River Basin
21NC03WQ-KB11,42,4,True,False,36.4208333333,-81.3194444444,Ohio River Basin
21NC03WQ-KB12,50,7,True,False,36.20256,-81.6487,Ohio River Basin
21NC03WQ-KB13,33,4,True,False,36.425,-81.325,Ohio River Basin
21NC03WQ-KB135,40,5,True,False,36.5038888889,-81.3902777778,Ohio River Basin
21NC03WQ-KB138,30,1,True,False,36.41071,-81.6196,Ohio River Basin
21NC03WQ-KB139,30,3,True,False,36.412902,-81.406828,Ohio River Basin
21NC03WQ-KB14,57,6,True,False,36.4277777778,-81.3444444444,Ohio River Basin
21NC03WQ-KB148,34,2,True,False,36.152885,-81.648197,Ohio River Basin
21NC03WQ-KB15,49,4,True,False,36.4563888889,-81.315,Ohio River Basin
21NC03WQ-KB16,130,6,True,True,36.2208333333,-81.64,Ohio River Basin
21NC03WQ-KB162,38,2,True,True,36.34687,-81.39886,Ohio River Basin
21NC03WQ-KB163,46,2,True,True,36.34659,-81.40038,Ohio River Basin
21NC03WQ-KB164,56,4,True,True,36.34441,-81.39523,Ohio River Basin
21NC03WQ-KB166,83,4,True,True,36.48897,-81.34387,Ohio River Basin
21NC03WQ-KB167,42,2,True,True,36.50976,-80.93973,Ohio River Basin
21NC03WQ-KB168,97,8,True,True,36.43956,-81.12601,Ohio River Basin
21NC03WQ-KB169,66,2,True,True,36.48134,-80.981,Ohio River Basin
21NC03WQ-KB17,61,8,True,False,36.1983333333,-81.6736111111,Ohio River Basin
21NC03WQ-KB170,14,2,True,False,36.14974,-81.65988,Ohio River Basin
21NC03WQ-KB171,39,4,True,False,36.54863,-81.43998,Ohio River Basin
21NC03WQ-KB172,40,5,True,False,36.39418,-81.69192,Ohio River Basin
21NC03WQ-KB18,46,4,True,False,36.2444444444,-81.65,Ohio River Basin
21NC03WQ-KB2,92,7,True,True,36.2991666667,-81.4680555556,Ohio River Basin
21NC03WQ-KB20,60,6,True,False,36.2644444444,-81.6219444444,Ohio River Basin
21NC03WQ-KB21,54,7,True,False,36.28,-81.6766666667,Ohio River Basin
21NC03WQ-KB23,62,9,True,False,36.43,-81.6208333333,Ohio River Basin
21NC03WQ-KB25,51,4,True,False,36.535,-81.4222222222,Ohio River Basin
